,City,Business Category,Business,Name,Rate,Review
0,Agra,Doctors,Cancer Specialists (Oncologists),DR. HEMANT GOYAL,4.4,28
1,Agra,Doctors,Cancer Specialists (Oncologists),DR AJAY GUPTA,4.5,11
2,Agra,Doctors,Cancer Specialists (Oncologists),DR SANDEEP AGRAWAL,3.6,48
3,Agra,Doctors,Cancer Specialists (Oncologists),DR. VARUN KUMAR AGARWAL,5,40
4,Agra,Doctors,Cardiologists,DR VINESH JAIN,4.9,244
5,Agra,Doctors,Cardiologists,DR. SHUBHAM SINGHAL,5,151
6,Agra,Doctors,Cardiologists,DR MUKESH GOYAL,4.4,84
7,Agra,Doctors,Cardiologists,DR. HIMANSHU YADAV,4.8,145
8,Agra,Doctors,Cardiologists,ESHAN HEART CENTRE,4.7,287
9,Agra,Doctors,Child Specialist (Pediatrician),DR. MUKESH BAGHEL,5,76
10,Agra,Doctors,Child Specialist (Pediatrician),DR. SUNIL KOHLI,4.1,63
11,Agra,Doctors,Child Specialist (Pediatrician),DR. NIKHIL CHATURVEDI,4.4,64
12,Agra,Doctors,Child Specialist (Pediatrician),DR L K GARG,4.8,32
13,Agra,Doctors,Child Specialist (Pediatrician),DR. SACHIN CHAWLA,4.9,56
14,Agra,Doctors,Dermatologist doctors,DR. ISHA SINGH,4.5,64
15,Agra,Doctors,Dermatologist doctors,DR. ISHITA RAKA PANDIT,4.7,148
16,Agra,Doctors,Dermatologist doctors,DR. ROOPAK SAXENA,3.7,42
17,Agra,Doctors,Diabetologist doctors,DR PRABHAT AGARWAL,4.8,68
18,Agra,Doctors,Diabetologist doctors,DR. SUNIL BANSAL'S,3.3,20
19,Agra,Doctors,Diabetologist doctors,DR. VIJAY SINGHAL,3.8,23
20,Agra,Doctors,ENT doctors,DR RAKESH SINGHAL,4.3,92
21,Agra,Doctors,ENT doctors,DR. SURENDRA SINGH BAGHEL,5,256
22,Agra,Doctors,ENT doctors,DR. ASHWANI KUMAR,4.8,94
23,Agra,Doctors,ENT doctors,DR RAJEEV PACHAURI,4.1,58
24,Agra,Doctors,ENT doctors,DR BAGHEL SHIV ENT CENTRE,3.5,29
25,Agra,Doctors,Gastroenterologists,DR. HIMANSHU YADAV,4.8,272
26,Agra,Doctors,Gastroenterologists,DR. KARAN R RAWAT,5,160
27,Agra,Doctors,Gastroenterologists,DR SHALINI SHARMA,4.7,59
28,Agra,Doctors,Gastroenterologists,DR. DEEPAK KR. SHARMA,4,60
29,Agra,Doctors,Gastroenterologists,DR. PRITUL SAXENA,4.6,154
30,Agra,Doctors,Gynecologist doctors,DR. SHIVANI CHATURVEDI,4.6,225
31,Agra,Doctors,Gynecologist doctors,DR SAMIKSHA GUPTA,4.6,140
32,Agra,Doctors,Gynecologist doctors,DR SHUBHRA GOYAL,4.8,72
33,Agra,Doctors,Gynecologist doctors,DR DEBASHISH SARKAR,4.6,63
34,Agra,Doctors,Gynecologist doctors,DR ANUSHREE RAWAT,5,50
35,Agra,Doctors,Neurologist doctors,DR. NARESH SHARMA,4.9,1086
36,Agra,Doctors,Neurologist doctors,DR.VINAY AGRAWAL,4,130
37,Agra,Doctors,Neurologist doctors,DR. ROBIN BANSAL,4.8,270
38,Agra,Doctors,Neurosurgeons,DR. NAMIT SINGHAL,4.7,164
39,Agra,Doctors,Neurosurgeons,DR NEERAJ BASANTANI,4.9,309
40,Agra,Doctors,Neurosurgeons,DR RAJEEV BANSAL,4.7,70
41,Agra,Doctors,Neurosurgeons,DR. ARVIND KUMAR AGARWAL,4.2,53
42,Agra,Doctors,Neurosurgeons,DR. SAURABH SHARMA,4.8,175
43,Agra,Doctors,Orthopedic surgeons,DR. AMIT SINGHAL,4.7,107
44,Agra,Doctors,Orthopedic surgeons,DR ANUPAM GUPTA,4.4,198
45,Agra,Doctors,Orthopedic surgeons,DR. ARUN GUPTA,4.8,45
46,Agra,Doctors,Orthopedic surgeons,DR D.P. SHARMA,5,92
47,Agra,Doctors,Orthopedic surgeons,DR DEVASHISH SHARMA,4.7,54
48,Agra,Education,CBSE schools,SHARDA WORLD SCHOOL,4.9,20
49,Agra,Education,CBSE schools,ST. CLARE'S SENIOR SECONDARY SCHOOL,4.5,233
50,Agra,Education,CBSE schools,ARMY PUBLIC SCHOOL,4.3,200
51,Agra,Education,CBSE schools,HOLY PUBLIC SCHOOL,4,257
52,Agra,Education,CBSE schools,GD GOENKA PUBLIC SCHOOL,4.2,288
53,Agra,Education,Coaching centre,CAREER LAUNCHER,4.6,398
54,Agra,Education,Coaching centre,MOTION ACADEMY,4.7,294
55,Agra,Education,Coaching centre,AAKASH INSTITUTE,3.8,261
56,Agra,Education,Coaching centre,BALUNI CLASSES,4,243
57,Agra,Education,Coaching centre,KUMAR'S IAS,4.8,1153
58,Agra,Education,Dance schools,NARAD JI DANCE COMPANY,4.7,98
59,Agra,Education,Dance schools,AYD DANCE ACADEMY,4.8,44
60,Agra,Education,Dance schools,A.K. DANCE ACADEMY,4.5,30
61,Agra,Education,Dance schools,ANKIT DANCE ACADEMY,3.9,35
62,Agra,Education,Dance schools,AKASH DANCE STUDIO,4.3,29
63,Agra,Education,Driving schools,ASAAN MOTOR DRIVING TRAINING SCHOOL,4.5,114
64,Agra,Education,Driving schools,AKASH CAR DRIVING TRAINING SCHOOL,4.7,34
65,Agra,Education,Driving schools,TAJ MOTOR CAR DRIVING TRAINING SCHOOL,4.7,40
66,Agra,Education,Driving schools,NEW MANI MOTOR DRIVING SCHOOL,4.9,67
67,Agra,Education,Driving schools,B L CAR DRIVING SCHOOL,4.9,69
68,Agra,Education,Engineering colleges,INSTITUTE OF ENGINEERING & TECHNOLOGY,4.2,300
69,Agra,Education,Engineering colleges,ANAND ENGINEERING COLLEGE,3.9,535
70,Agra,Education,Engineering colleges,FET AGRA COLLEGE,4,147
71,Agra,Education,ICSE School,RAGENDRA SWARUP PUBLIC SCHOOL,4.4,71
72,Agra,Education,ICSE School,ST. PETER'S COLLEGE,4.5,399
73,Agra,Education,ICSE School,ST. CONRAD'S INTER COLLEGE,4.2,213
74,Agra,Education,Martial arts school,VIJAY BAHADUR MEMORIAL TAEKWONDO AACADEMY,5,33
75,Agra,Education,Martial arts school,WARRIORS KARATE ACADEMY,4.5,17
76,Agra,Education,Martial arts school,TAEKWONDO EAGLES,4.9,33
77,Agra,Education,Music schools,LASYA MUSICAL,4.8,108
78,Agra,Education,Music schools,SA RE GA MA MUSIC INSTITUTE & BAND,4.8,36
79,Agra,Education,Music schools,PHANTOM ALIES MUSIC CLASSES STUDIO,4.7,61
80,Agra,Education,Play schools,CHALK 'N DUSTER PLAY SCHOOL,4.9,111
81,Agra,Education,Play schools,KIDZEE SIKANDRA,4.7,72
82,Agra,Education,Play schools,EUROKIDS PRESCHOOL,4.9,52
83,Agra,Education,Play schools,BACHPAN PLAY SCHOOL,5,26
84,Agra,Education,Yoga classes,ASHTANG YOG STUDIO,5,22
85,Agra,Education,Yoga classes,NAMAH YOG STUDIO,4.8,11
86,Agra,Education,Yoga classes,VEDIC LIFE YOGA AND MEDITATION CENTER,5,18
87,Agra,Education,Yoga classes,PATANJAL YOG DHAM,5,156
88,Agra,Education,Yoga classes,FR. FERREIRA YOGA AND NATURE CURE INSTITUTE,4.6,20
89,Agra,Entertainment,Beauty parlour,GEETANJALI SALON,4.5,772
90,Agra,Entertainment,Beauty parlour,LAKME SALON,4.5,301
91,Agra,Entertainment,Beauty parlour,CHHAYA BEAUTY PARLOUR,4.3,269
92,Agra,Entertainment,Beauty parlour,LOOKS SALON,3.9,365
93,Agra,Entertainment,Beauty parlour,SNEH'S HAIR & BEAUTY POINT,4.5,376
94,Agra,Entertainment,Cinema Hall,SARV MULTIPLEX,4,5548
95,Agra,Entertainment,Cinema Hall,SANJAY TALKIES,3.8,2110
96,Agra,Entertainment,Cinema Hall,BHAGWAN TALKIES,3.7,17326
97,Agra,Entertainment,Cinema Hall,SHREE TALKIES,4.1,5991
98,Agra,Entertainment,Cinema Hall,MEHER THEATRE,4.1,4259
99,Agra,Entertainment,Event management companies,EVENTKART ENTERTAINMENT,5,6
100,Agra,Entertainment,Event management companies,TAKSH EVENTS,5,75
101,Agra,Entertainment,Event management companies,WEDDING PLANNERS EVENT ORGANIZERS,4.7,64
102,Agra,Entertainment,Event management companies,THE EVENT'S KING,5,103
103,Agra,Entertainment,Event management companies,VINTAZE ENTERTAINMENTS,5,93
104,Agra,Entertainment,Public parks,SUBHASH PARK,3.6,1621
105,Agra,Entertainment,Public parks,SHAHEED SMARAK PARK,4,2820
106,Agra,Entertainment,Public parks,PALIWAL PARK,4.1,4302
107,Agra,Entertainment,Public parks,BALKESHWAR PARK,4,3280
108,Agra,Entertainment,Public parks,MEHTAB BAGH,4.2,6024
109,Agra,Entertainment,Swimming pools,ANAND SWIMMING POOL,4.3,44
110,Agra,Entertainment,Swimming pools,KHUSHI SWIMMING WORLD,4.9,380
111,Agra,Entertainment,Swimming pools,ASHIRWAD SWIMMING POOL,4.6,22
112,Agra,Entertainment,Swimming pools,SHATRUJEET SWIMMING POOL,4.2,95
113,Agra,Entertainment,Swimming pools,NIRANJAN SWIMMING POOL,3.8,113
114,Agra,Entertainment,Temples,BALKESHWAR MAHADEV MANDIR,4.6,888
115,Agra,Entertainment,Temples,RAJESHWAR MANDIR,4.5,839
116,Agra,Entertainment,Temples,SHRI KHATU SHYAM JI TEMPLE,4.7,1128
117,Agra,Entertainment,Temples,RAWLI TEMPLE,4.5,342
118,Agra,Entertainment,Temples,SHRI MANKAMESHWAR MANDIR,4.7,4583
119,Agra,Food,Cafes,HICHKEE CAFE,4.2,1408
120,Agra,Food,Cafes,CAFé COFFEE DAY,4,790
121,Agra,Food,Cafes,TEA’SE ME,4.2,1710
122,Agra,Food,Cafes,GOOD VIBES CAFE,4.5,1293
123,Agra,Food,Cafes,DESI CAFE,4.2,1119
124,Agra,Food,Cake shops,ROHIT CAKES & BAKES,4.2,764
125,Agra,Food,Cake shops,MKOP THE EXCLUSIVE BAKERY STORE,4,308
126,Agra,Food,Cake shops,CAMPUS BAKERS,4.2,198
127,Agra,Food,Cake shops,DJLECIOUS CAKE SHOP,4.5,142
128,Agra,Food,Cake shops,CAKE & MORE,4.2,118
129,Agra,Food,Catering services,JAINA MOHAN CATERERS,4.9,795
130,Agra,Food,Catering services,VENS CATERERS,5,43
131,Agra,Food,Catering services,THE BANSAL CATERERS,5,92
132,Agra,Food,Catering services,RAJ CATERERS,4.5,17
133,Agra,Food,Catering services,BANI CATERERS,5,23
134,Agra,Food,Family restaurants,PIND BALLUCHI,4,4257
135,Agra,Food,Family restaurants,BIKANERVALA RESTAURANT,4,2389
136,Agra,Food,Family restaurants,AAHAR RESTAURANT,4,3026
137,Agra,Food,Family restaurants,PINCH OF SPICE,4.3,4388
138,Agra,Food,Family restaurants,SAGAR RATNA,3.8,1579
139,Agra,Food,Fast food restaurants,MCDONALD'S,4.1,5567
140,Agra,Food,Fast food restaurants,SUBWAY RESTAURANT,4.1,1122
141,Agra,Food,Fast food restaurants,AGRA CHAAT HOUSE,4.2,846
142,Agra,Food,Fast food restaurants,MAMA CHICKEN MAMA FRANKY HOUSE,4,4790
143,Agra,Food,Fast food restaurants,THE GREENER SIDE,4.3,1033
144,Agra,Food,Pure vegetarian restaurants,UDUPI BRINDAVAN VEGETARIAN RESTAURANT,4.1,1880
145,Agra,Food,Pure vegetarian restaurants,CHOKHO JEEMAN,4.2,4846
146,Agra,Food,Pure vegetarian restaurants,DASAPRAKASH RESTAURANT,3.9,1080
147,Agra,Food,Pure vegetarian restaurants,PANKHURI RESTAURANT,4.1,302
148,Agra,Food,Pure vegetarian restaurants,SHRI THALIWALA PURE VEG RESTAURANT,3.8,1393
149,Agra,Health,24 hour blood banks,SAMARPAN BLOOD BANK,3.2,33
150,Agra,Health,24 hour blood banks,LOKHITAM BLOOD BANK,4,20
151,Agra,Health,24 hour blood banks,PUSHPA MAA SAMAJ CHARITABLE BLOOD BANK,4.6,10
152,Agra,Health,Dental clinics,DR. AJAY DENTAL CLINIC,4.5,99
153,Agra,Health,Dental clinics,DR SPARSH MULTISPECIALITY DENTAL CARE,4.9,139
154,Agra,Health,Dental clinics,SRI BALAJI DENTAL CLINIC,5,187
155,Agra,Health,Dental clinics,SPARKS DENTAL CLINIC,4.9,171
156,Agra,Health,Dental clinics,SWEET TOOTH DENTAL CLINIC,5,153
157,Agra,Health,Eye hospitals,AGARWAL EYE HOSPITAL,4.2,114
158,Agra,Health,Eye hospitals,ISHAN NETRALAY,4.8,67
159,Agra,Health,Eye hospitals,MAYA NETRALAYA,4.9,70
160,Agra,Health,Eye hospitals,NETRA JYOTI KENDRA,4.5,46
161,Agra,Health,Eye hospitals,CENTRE FOR SIGHT EYE HOSPITAL,4.7,1087
162,Agra,Health,Fertility clinics,RAVI INDIRA IVF CENTRE,4.8,708
163,Agra,Health,Fertility clinics,RAINBOW IVF,4.9,437
164,Agra,Health,Fertility clinics,SARKAR NURSING HOME AND UMA INTERNATIONAL IVF HOSPITAL,4.1,111
165,Agra,Health,Gym,TALWALKARS KHANDARI,4.3,316
166,Agra,Health,Gym,BUNTY'S GYM,4.6,163
167,Agra,Health,Gym,HELIOX FITNESS GYM,4.9,152
168,Agra,Health,Gym,ROAR THE GYM,4.7,213
169,Agra,Health,Gym,FITNESS REVOLUTION,4.6,157
170,Agra,Health,Homeopathic clinics,DR RAJNEESH AGARWAL,4.9,366
171,Agra,Health,Homeopathic clinics,DR BATRA’S HOMEOPATHY CLINIC,4.3,258
172,Agra,Health,Homeopathic clinics,NAVKAAR HOMEOPATHY,4.9,363
173,Agra,Health,Homeopathic clinics,DR. ANKUR PRAKASH,4.6,219
174,Agra,Health,Homeopathic clinics,DR KK GOYAL'S HOMEOPATHY,4.7,97
175,Agra,Health,Medical shop,SHYAM MEDICAL STORE,4.1,43
176,Agra,Health,Medical shop,ABBAS MEDICAL STORE,4.7,38
177,Agra,Health,Medical shop,MEDICINE ON WHEELS,4.7,32
178,Agra,Health,Medical shop,DILIP MEDICAL STORE,4.3,82
179,Agra,Health,Medical shop,DEVA MEDICAL STORE,5,93
180,Agra,Health,Multispeciality hospitals,PUSHPANJALI HOSPITAL & RESEARCH CENTRE,4.3,1282
181,Agra,Health,Multispeciality hospitals,LOTUS SUPER SPECIALITY HOSPITAL,4.4,551
182,Agra,Health,Multispeciality hospitals,SYNERGY PLUS HOSPITAL,3.4,361
